anio,caso,medio,link,fase_produccion,objetivo,pais,categoria,fecha,fase
2026.0,Modelos para analizar datos municipales y generar boletines hiperlocales con historias automatizadas.,Crosstown,https://newsmachines.beehiiv.com/p/how-crosstown-finds-stories-hidden-in-municipal-data,"Previa, Producción, Distribución",Mejorar contenidos,Estados Unidos,Análisis / investigación,2026-01-07,Producción
2026.0,Modelos para analizar datos municipales y generar boletines hiperlocales con historias automatizadas.,Crosstown,https://newsmachines.beehiiv.com/p/how-crosstown-finds-stories-hidden-in-municipal-data,"Previa, Producción, Distribución",Mejorar contenidos,Estados Unidos,Análisis / investigación,2026-01-07,Distribución
2026.0,Modelos para analizar datos municipales y generar boletines hiperlocales con historias automatizadas.,Crosstown,https://newsmachines.beehiiv.com/p/how-crosstown-finds-stories-hidden-in-municipal-data,"Previa, Producción, Distribución",Mejorar contenidos,Estados Unidos,Análisis / investigación,2026-01-07,Previa
2026.0,Modelos para analizar datos municipales y generar boletines hiperlocales con historias automatizadas.,Crosstown,https://newsmachines.beehiiv.com/p/how-crosstown-finds-stories-hidden-in-municipal-data,"Previa, Producción, Distribución",Mejorar contenidos,Estados Unidos,Análisis / investigación,2026-01-07,Producción
2026.0,Modelos para analizar datos municipales y generar boletines hiperlocales con historias automatizadas.,Crosstown,https://newsmachines.beehiiv.com/p/how-crosstown-finds-stories-hidden-in-municipal-data,"Previa, Producción, Distribución",Mejorar contenidos,Estados Unidos,Análisis / investigación,2026-01-07,Distribución
2026.0,"Plataforma interna de IA para experimentar, probar y desplegar herramientas editoriales basadas en modelos de lenguaje en la redacción.",Tamedia,https://www.inma.org/blogs/ideas/post.cfm/tamedia-s-ai-toolbox-has-become-a-daily-driver-in-the-newsroom,"Previa, Producción",Eficiencia producción,Suiza,Otros,2026-01-04,Previa
2026.0,"Plataforma interna de IA para experimentar, probar y desplegar herramientas editoriales basadas en modelos de lenguaje en la redacción.",Tamedia,https://www.inma.org/blogs/ideas/post.cfm/tamedia-s-ai-toolbox-has-become-a-daily-driver-in-the-newsroom,"Previa, Producción",Eficiencia producción,Suiza,Otros,2026-01-04,Producción
2025.0,Business Insider usa IA generativa entrenada con su archivo para redactar noticias breves que luego son editadas por periodistas.,Business Insider,https://www.businessinsider.com/ai-pilot,Producción,Eficiencia producción,Estados Unidos,Texto,2025-12-04,Producción
2025.0,"Herramienta de IA que evalúa el valor de los artículos, asigna puntuaciones automáticas, apoya decisiones editoriales y propuesta de valor ",Svenska Dagbladet,https://wan-ifra.org/2025/11/how-swedens-svenska-dagbladet-reached-130000-digital-subscribers-ahead-of-schedule/,Previa,Mejorar contenidos,Suecia,Análisis / investigación,2025-11-26,Previa
2025.0,"Herramienta de IA que evalúa el valor de los artículos, asigna puntuaciones automáticas, apoya decisiones editoriales y propuesta de valor ",Svenska Dagbladet,https://wan-ifra.org/2025/11/how-swedens-svenska-dagbladet-reached-130000-digital-subscribers-ahead-of-schedule/,Previa,Mejorar contenidos,Suecia,Análisis / investigación,2025-11-26,Previa
2025.0,"Usa IA para animar objetos, crear entornos visuales y transformar dibujos infantiles en mundos animados e interactivos cuando falta material con derechos.",SVT,https://omoss.svt.se/arkiv/bloggarkiv/2025-11-17-tv4-och-svt-delar-ai-lardomar-med-mediebranschen.html,Producción,Mejorar contenidos,Suecia,Video,2025-11-17,Producción
2025.0,"Motor tipo “pregunta-respuesta”, estilo buscador inteligente sobre su archivo",Le Parisien,https://wan-ifra.org/2025/11/ai-as-an-engagement-driver-les-echos-and-le-parisien-deepen-reader-connection-with-ai-powered-features/,Distribución,"Participación, Difusión",Francia,Texto,2025-11-12,Distribución
2025.0,"Cuando no existe vídeo real de un evento, usan IA para generar una reconstrucción con estilo “dibujos”, para que quede claro que no es material auténtico",Le Parisien,https://wan-ifra.org/2025/11/ai-as-an-engagement-driver-les-echos-and-le-parisien-deepen-reader-connection-with-ai-powered-features/,"Producción, Distribución","Mejorar contenidos, Difusión",Francia,Video,2025-11-12,Producción
2025.0,"Cuando no existe vídeo real de un evento, usan IA para generar una reconstrucción con estilo “dibujos”, para que quede claro que no es material auténtico",Le Parisien,https://wan-ifra.org/2025/11/ai-as-an-engagement-driver-les-echos-and-le-parisien-deepen-reader-connection-with-ai-powered-features/,"Producción, Distribución","Mejorar contenidos, Difusión",Francia,Video,2025-11-12,Distribución
2025.0,"En su sección de guías de compra, cuando no pueden producir un vídeo “auténtico”, generan uno con IA para presentar el producto.",Le Parisien,https://wan-ifra.org/2025/11/ai-as-an-engagement-driver-les-echos-and-le-parisien-deepen-reader-connection-with-ai-powered-features/,"Producción, Distribución","Mejorar contenidos, Negocio, Difusión",Francia,Video,2025-11-12,Producción
2025.0,"En su sección de guías de compra, cuando no pueden producir un vídeo “auténtico”, generan uno con IA para presentar el producto.",Le Parisien,https://wan-ifra.org/2025/11/ai-as-an-engagement-driver-les-echos-and-le-parisien-deepen-reader-connection-with-ai-powered-features/,"Producción, Distribución","Mejorar contenidos, Negocio, Difusión",Francia,Video,2025-11-12,Distribución
2025.0,Convierte los artículos principales en audio y los agrupa en una playlist,Les Echos,https://wan-ifra.org/2025/11/ai-as-an-engagement-driver-les-echos-and-le-parisien-deepen-reader-connection-with-ai-powered-features/,"Producción, Distribución","Mejorar contenidos, Difusión",Francia,Audio,2025-11-12,Producción
2025.0,Convierte los artículos principales en audio y los agrupa en una playlist,Les Echos,https://wan-ifra.org/2025/11/ai-as-an-engagement-driver-les-echos-and-le-parisien-deepen-reader-connection-with-ai-powered-features/,"Producción, Distribución","Mejorar contenidos, Difusión",Francia,Audio,2025-11-12,Distribución
2025.0,"Motor tipo “pregunta-respuesta”, estilo buscador inteligente sobre su archivo",Les Echos,https://wan-ifra.org/2025/11/ai-as-an-engagement-driver-les-echos-and-le-parisien-deepen-reader-connection-with-ai-powered-features/,Distribución,"Participación, Difusión",Francia,Texto,2025-11-12,Distribución
2025.0,ICIR desarrolla NativeAI para transcribir y traducir contenidos periodísticos a lenguas locales nigerianas,ICIR,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/icir-nigeria,Distribución,"Difusión, Eficiencia producción",Nigeria,Texto,2025-11-11,Distribución
2025.0,"Gubbi Labs desarrolla Babbler, una plataforma con IA que prioriza artículos científicos mediante un índice de noticiabilidad y genera borradores y contenidos derivados",Gubbi Labs,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/gubbi-labs,"Previa, Producción",Eficiencia editorial; Producción de contenidos,India,Texto,2025-11-11,Previa
2025.0,"Gubbi Labs desarrolla Babbler, una plataforma con IA que prioriza artículos científicos mediante un índice de noticiabilidad y genera borradores y contenidos derivados",Gubbi Labs,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/gubbi-labs,"Previa, Producción",Eficiencia editorial; Producción de contenidos,India,Texto,2025-11-11,Producción
2025.0,"El Surti crea AI KUAA, un chatbot en guaraní para promover conocimiento común y participación comunitaria",El Surti,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/el-surti,"Producción, Distribución",Participación; IA Responsable,Paraguay,Texto,2025-11-11,Producción
2025.0,"El Surti crea AI KUAA, un chatbot en guaraní para promover conocimiento común y participación comunitaria",El Surti,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/el-surti,"Producción, Distribución",Participación; IA Responsable,Paraguay,Texto,2025-11-11,Distribución
2025.0,"El Surti crea AI KUAA, un chatbot en guaraní para promover conocimiento común y participación comunitaria",El Surti,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/el-surti,"Producción, Distribución",Participación; IA Responsable,Paraguay,Audio,2025-11-11,Producción
2025.0,"El Surti crea AI KUAA, un chatbot en guaraní para promover conocimiento común y participación comunitaria",El Surti,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/el-surti,"Producción, Distribución",Participación; IA Responsable,Paraguay,Audio,2025-11-11,Distribución
2025.0,"Fogo Cruzado desarrolla VANIA, un chatbot con IA para consultar datos de violencia armada en tiempo real",Fogo Cruzado,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/fogo-cruzado,Previa,Participación,Brasil,Accesibilidad,2025-11-11,Previa
2025.0,"The European Correspondent desarrolla Vika, un editor asistente con IA que comenta borradores y mejora la toma de decisiones editoriales",The European Correspondent,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/the-european-correspondent,Producción,Eficiencia producción,Suiza,Texto,2025-11-11,Producción
2025.0,Full Fact desarrolla Government Tracker para monitorizar promesas gubernamentales con IA generativa,Full Fact,https://www.youtube.com/watch?v=bOk24iqg22U,Previa,Transparencia; Rendición de cuentas,Reino Unido,Texto,2025-11-11,Previa
2025.0,Verified News Network desarrolla un chatbot con IA generativa entrenado con fuentes verificadas para responder consultas y combatir la desinformación,Verified News Network,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/verified-news-network,Distribución,Participación; IA Responsable,Estados Unidos,Texto,2025-11-11,Distribución
2025.0,"Science Feedback desarrolla Climate Safeguards, un sistema con IA que monitoriza y analiza desinformación climática en programas de TV y radio mediante transcripción automática, detección algorítmica y revisión humana",Science Feedback,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/science-feedback,Previa,Verificación; Detección de desinformación,Francia,Texto,2025-11-11,Previa
2025.0,Gênero e Número desarrolla una herramienta con IA para mapear y analizar desinformación antigénero en YouTube,Gênero e Número,https://www.youtube.com/watch?v=Ex7J0IWaCyE  ,Previa,Participación; IA Responsable,Brasil,Texto,2025-11-11,Previa
2025.0,Gênero e Número desarrolla una herramienta con IA para mapear y analizar desinformación antigénero en YouTube,Gênero e Número,https://www.youtube.com/watch?v=Ex7J0IWaCyE  ,Previa,Participación; IA Responsable,Brasil,Video,2025-11-11,Previa
2025.0,"Daily Maverick desarrolla Revenue 360, un sistema con IA para optimizar adquisición, engagement y retención de miembros",Daily Maverick,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/daily-maverick,Distribución; Previa,Participación; Modelos de negocio,Sudáfrica,Texto,2025-11-11,Distribución
2025.0,"Daily Maverick desarrolla Revenue 360, un sistema con IA para optimizar adquisición, engagement y retención de miembros",Daily Maverick,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/daily-maverick,Distribución; Previa,Participación; Modelos de negocio,Sudáfrica,Texto,2025-11-11,Previa
2025.0,"Nest Center desarrolla Pluma Media, un sistema con IA para fact-checking y análisis de sesgo y sentimiento en el ecosistema mediático mongol",Nest Center,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/nest-center,Producción,Fact-checking; Calidad periodística,Mongolia,Texto,2025-11-11,Producción
2025.0,"The Oglethorpe Echo implementa YESEO, una herramienta con IA integrada en Slack para automatizar tareas repetitivas y generar contexto editorial a partir del archivo del medio",The Oglethorpe Echo,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/the-oglethorpe-echo,Producción,Eficiencia editorial; Audiencias,Estados Unidos,Texto,2025-11-11,Producción
2025.0,"Makedonia desarrolla PNN, un sistema con IA que analiza el comportamiento de lectura para personalizar newsletters y notificaciones",Makedonia,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/makedonia,"Producción, Distribución",Audiencias; Personalización,Grecia,Texto,2025-11-11,Producción
2025.0,"Makedonia desarrolla PNN, un sistema con IA que analiza el comportamiento de lectura para personalizar newsletters y notificaciones",Makedonia,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/makedonia,"Producción, Distribución",Audiencias; Personalización,Grecia,Texto,2025-11-11,Distribución
2025.0,"CCIJ desarrolla ElectionWatch, un sistema con IA para detectar y analizar desinformación electoral en tiempo real",CCIJ,https://www.youtube.com/watch?v=EbpOkW9MfCI,Previa,Fact-checking; Democracia,Nigeria,Texto,2025-11-11,Previa
2025.0,"Shomrim desarrolla SourceGuard, una herramienta de IA para detectar sesgos, omisiones y fallos sutiles en artículos periodísticos",Shomrim,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/shomrim,Producción,Fact-checking; Calidad periodística,Israel,Texto,2025-11-11,Producción
2025.0,Newtral desarrolla FactFlow AI para detectar desinformación en Telegram y alertar en tiempo real a fact-checkers,Newtral,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/newtral,Previa,Participación; IA Responsable,España,Texto,2025-11-11,Previa
2025.0,"Tama Media desarrolla Akili, una app con chatbot de IA para fact-checking accesible en lenguas africanas",Tama Media,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/tama-media,Distribución,Participación; IA Responsable; Difusión,Francia,Texto,2025-11-11,Distribución
2025.0,"Tama Media desarrolla Akili, una app con chatbot de IA para fact-checking accesible en lenguas africanas",Tama Media,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/tama-media,Distribución,Participación; IA Responsable; Difusión,Francia,Audio,2025-11-11,Distribución
2025.0,Más Voces desarrolla elTOQUE Markets para analizar con IA la economía informal cubana y generar ingresos,Más Voces,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/mas-voces,Previa distribucion,Difusión; Eficiencia producción,Cuba,Texto,2025-11-11,Previa/Distribución
2025.0,Más Voces desarrolla elTOQUE Markets para analizar con IA la economía informal cubana y generar ingresos,Más Voces,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/mas-voces,Previa distribucion,Difusión; Eficiencia producción,Cuba,Visualización,2025-11-11,Previa/Distribución
2025.0,Verify lanza un bot de WhatsApp con IA para acceder a información verificada y combatir la desinformación en Siria,Verify,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/verify-media-platform,Distribución,Participación; IA Responsable,Siria,Texto,2025-11-11,Distribución
2025.0,"VERA Files desarrolla SEEK, un buscador conversacional con IA para consultas de verificación y detección de desinformación",VERA Files,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/vera-files,Distribución,Participación,Filipinas,Texto,2025-11-11,Distribución
2025.0,Digitalhaus Franken desarrolla PULSE para predecir y reducir la baja de suscriptores con modelos de IA,Digitalhaus Franken,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/digitalhaus-franken,Distribución,Difusión,Alemania,Texto,2025-11-11,Distribución
2025.0,"La Silla Vacía crea AI Kit, un hub de herramientas con IA para mejorar eficiencia editorial y engagement de audiencias",La Silla Vacía,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/la-silla-vacia,Producción,Eficiencia producción; Mejorar contenidos; Participación,Colombia,Texto,2025-11-11,Producción
2025.0,Sowt desarrolla un sistema con IA para predecir rendimiento de campañas y optimizar suscripciones y retención,Sowt,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/sowt,Distribución,Difusión; Eficiencia producción,Jordania,Texto,2025-11-11,Distribución
2025.0,openDemocracy crea CopySwap para automatizar el intercambio de newsletters entre redacciones con apoyo de IA,openDemocracy,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/open-democracy,Distribución,Difusión; Eficiencia producción,Reino Unido,Texto,2025-11-11,Distribución
2025.0,Agência Mural desarrolla Local Climate Alert para enviar alertas climáticas locales y accionables con apoyo de IA,Agência Mural,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/agencia-mural,Distribución,Participación; Difusión,Brasil,Texto,2025-11-11,Distribución
2025.0,CINS desarrolla una herramienta de IA para analizar grandes conjuntos de datos sanitarios y verificar afirmaciones del gobierno,CINS,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/cins,Previa,Eficiencia producción; Participación,Serbia,Texto,2025-11-11,Previa
2025.0,"Raseef22 crea Ask Aunty, un chatbot con IA para responder preguntas sobre salud sexual y reproductiva en árabe",Raseef22,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/raseef22,Producción; Distribución,Participación; IA Responsable,Líbano,Texto,2025-11-11,Producción
2025.0,"Raseef22 crea Ask Aunty, un chatbot con IA para responder preguntas sobre salud sexual y reproductiva en árabe",Raseef22,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/raseef22,Producción; Distribución,Participación; IA Responsable,Líbano,Texto,2025-11-11,Distribución
2025.0,Babel usa IA de voz para sostener la producción periodística durante la guerra,Babel,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/babel-ngo,Producción,Eficiencia producción; Difusión,Ucrania,Audio,2025-11-11,Producción
2025.0,Babel usa IA de voz para sostener la producción periodística durante la guerra,Babel,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/babel-ngo,Producción,Eficiencia producción; Difusión,Ucrania,Video,2025-11-11,Producción
2025.0,Chatbot para explicar economía con datos oficiales en lenguaje accesible,Economía para la Pipol,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/economia-para-la-pipol,"Producción, Distribución",Participación; Mejorar contenidos; Difusión,Colombia,Texto,2025-11-11,Producción
2025.0,Chatbot para explicar economía con datos oficiales en lenguaje accesible,Economía para la Pipol,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/economia-para-la-pipol,"Producción, Distribución",Participación; Mejorar contenidos; Difusión,Colombia,Texto,2025-11-11,Distribución
2025.0,Chatbot para explicar economía con datos oficiales en lenguaje accesible,Economía para la Pipol,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/economia-para-la-pipol,"Producción, Distribución",Participación; Mejorar contenidos; Difusión,Colombia,Visualización,2025-11-11,Producción
2025.0,Chatbot para explicar economía con datos oficiales en lenguaje accesible,Economía para la Pipol,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/economia-para-la-pipol,"Producción, Distribución",Participación; Mejorar contenidos; Difusión,Colombia,Visualización,2025-11-11,Distribución
2025.0,Analizar datos legislativos y reforzar la rendición de cuentas,CalMatters,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/calmatters,Preproducción; Producción,Eficiencia producción; Participación; IA Responsable,Estados Unidos,Texto,2025-11-11,Previa
2025.0,Analizar datos legislativos y reforzar la rendición de cuentas,CalMatters,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/calmatters,Preproducción; Producción,Eficiencia producción; Participación; IA Responsable,Estados Unidos,Texto,2025-11-11,Producción
2025.0,Analizar datos legislativos y reforzar la rendición de cuentas,CalMatters,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/calmatters,Preproducción; Producción,Eficiencia producción; Participación; IA Responsable,Estados Unidos,Audio,2025-11-11,Previa
2025.0,Analizar datos legislativos y reforzar la rendición de cuentas,CalMatters,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/calmatters,Preproducción; Producción,Eficiencia producción; Participación; IA Responsable,Estados Unidos,Audio,2025-11-11,Producción
2025.0,Desarrolla Minim para traducir y narrar contenidos en lenguas africanas con voces locales ,The Republic,https://www.youtube.com/watch?v=r4jBghI5uYs,Producción; Distribución,Mejorar contenidos; Difusión; IA Responsable,Nigeria,Texto,2025-11-11,Producción
2025.0,Desarrolla Minim para traducir y narrar contenidos en lenguas africanas con voces locales ,The Republic,https://www.youtube.com/watch?v=r4jBghI5uYs,Producción; Distribución,Mejorar contenidos; Difusión; IA Responsable,Nigeria,Texto,2025-11-11,Distribución
2025.0,Desarrolla Minim para traducir y narrar contenidos en lenguas africanas con voces locales ,The Republic,https://www.youtube.com/watch?v=r4jBghI5uYs,Producción; Distribución,Mejorar contenidos; Difusión; IA Responsable,Nigeria,Audio,2025-11-11,Producción
2025.0,Desarrolla Minim para traducir y narrar contenidos en lenguas africanas con voces locales ,The Republic,https://www.youtube.com/watch?v=r4jBghI5uYs,Producción; Distribución,Mejorar contenidos; Difusión; IA Responsable,Nigeria,Audio,2025-11-11,Distribución
2025.0,Modelos para agregar múltiples fuentes y sintetizar la información en historias personalizables para lectores.,Particle,https://newsmachines.beehiiv.com/p/particle-news-ai-aggregation,Producción;Distribución,Mejorar contenidos,Estados Unidos,Texto,2025-11-11,Producción
2025.0,Modelos para agregar múltiples fuentes y sintetizar la información en historias personalizables para lectores.,Particle,https://newsmachines.beehiiv.com/p/particle-news-ai-aggregation,Producción;Distribución,Mejorar contenidos,Estados Unidos,Texto,2025-11-11,Distribución
2025.0,Experimenta con un agente de IA para automatizar la creación de metadatos y acelerar la edición y generación de múltiples versiones de video.,Reuters,https://digiday.com/media/inside-reuters-agentic-ai-video-experiment/,Producción,Eficiencia producción,Estados Unidos,Video,2025-11-07,Producción
2025.0,"Redactar artículos a partir de notas de prensa, analizar podcasts y sugerir temas a partir de estos, y apoyar decisiones editoriales mediante principios éticos automatizados.",Alma Media,https://ssl.eventilla.com/tekoaly_tuli_taloon,Producción,Eficiencia producción,Finlandia,Texto,2025-10-29,Producción
2025.0,"Asistente de IA basado en agentes que apoya la edición con corrección lingüística, resumen de textos y preparación de contenidos integrados en el sistema de publicación.",Bonnier News,https://www.sw.bonniernewsevents.se/publisher-day-sverige-2025/9963379,Producción,Eficiencia producción,Suecia,Texto,2025-10-23,Producción
2025.0,"Usa un asistente de IA que filtra flujos de noticias y redes sociales, detecta tendencias y envía automáticamente ideas editoriales relevantes por correo electrónico.",Deutsche Welle,https://www.youtube.com/watch?v=h2V7M2mpJI8,Previa,Eficiencia producción,Alemania,Texto,2025-10-03,Previa
2025.0,"Usa una plataforma de IA para transcribir, traducir, subtitular y generar locuciones que adaptan contenidos a múltiples idiomas de forma eficiente.",Deutsche Welle,https://newsmachines.beehiiv.com/p/deutsche-welle-content-adaptation-plain-x,Producción,Eficiencia producción,Alemania,Texto,2025-10-01,Producción
2025.0,Usa una herramienta interna de IA para convertir automáticamente artículos en videos optimizados para Instagram y TikTok.,Funke Media,https://www.inma.org/blogs/conference/post.cfm/inma-european-conference-calls-for-courageous-reinvention-in-news-industry,Producción;Distribución,Eficiencia producción,Alemania,Video,2025-09-26,Producción
2025.0,Usa una herramienta interna de IA para convertir automáticamente artículos en videos optimizados para Instagram y TikTok.,Funke Media,https://www.inma.org/blogs/conference/post.cfm/inma-european-conference-calls-for-courageous-reinvention-in-news-industry,Producción;Distribución,Eficiencia producción,Alemania,Video,2025-09-26,Distribución
2025.0,"Usa una herramienta de IA que analiza comentarios de lectores, detecta temas recurrentes y genera automáticamente ideas de historias para la redacción.",Toronto Star,https://newsmachines.beehiiv.com/p/how-the-toronto-star-built-an-engaged-news-community,Previa,Eficiencia producción,Canadá,Texto,2025-09-24,Previa
2025.0,Usa una herramienta interna de IA basada en búsqueda semántica para explorar grandes conjuntos de datos y apoyar la investigación periodística.,New York Times,https://digiday.com/media/inside-the-new-york-times-ai-newsroom-strategy/,Previa,Eficiencia producción,Estados Unidos,Texto,2025-09-22,Previa
2025.0,Usa IA para generar resúmenes y titulares de artículos a partir de podcasts propios y entregarlos automáticamente en Slack para facilitar la creación de noticias.,Aftonbladet,https://www.linkedin.com/pulse/v%25C3%25A5r-nya-ai-strategi-hej-update-och-aftonbladet-till-new-martin-schori-ivsvf/,Previa,Eficiencia producción,Suecia,Texto,2025-09-08,Previa
2025.0,"Desarrolla una base de datos asistida por IA con búsqueda semántica, resúmenes automáticos y análisis de contenidos para apoyar el trabajo periodístico.",Media Industry Research Foundation of Finland,https://www.mediaalantutkimussaatio.fi/raportit/tutkimushankkeet/tekoaly-journalistisen-tyon-johtamisen-tukena-ja-kotimaisen-median-vahvistajana/,Previa,Eficiencia producción,Finlandia,Texto,2025-09-05,Previa
2025.0,Maldita.es utiliza un chatbot de IA para canalizar y organizar consultas ciudadanas de verificación,Maldita.es,https://www.journalismai.info/blog/veofm9l7b6x7i1crurq228qyv7zdxe,Previa,Verificación,España,Texto,2025-06-23,Previa
2025.0,Maldita.es utiliza un chatbot de IA para canalizar y organizar consultas ciudadanas de verificación,Maldita.es,https://www.journalismai.info/blog/veofm9l7b6x7i1crurq228qyv7zdxe,Previa,Verificación,España,Audio,2025-06-23,Previa
2025.0,Maldita.es desarrolla un asistente interno de IA con recuperación de información para apoyar el trabajo de verificación,Maldita.es,https://www.journalismai.info/blog/veofm9l7b6x7i1crurq228qyv7zdxe,Previa,Verificación,España,Texto,2025-06-23,Previa
2025.0,"Desarrollo de Data Painter, herramienta de IA para generar infografías automáticamente desde textos y datos",Il Messaggero,https://www.ftstrategies.com/en-gb/case-studies/il-messaggero-accelerated-subscription-growth-by-introducing-new-ai-powered-digital-products-and-strengthening-cross-team-collaboration,Producción,Suscripciones,Italia,Sin categoría,2025-12-11,Producción
2025.0,Scroll desarrolla Factivo 2.0 para versionar artículos en múltiples formatos personalizados con IA,Scroll,https://www.journalismai.info/programmes/innovation/innovation-challenge-2024/scroll,"Producción, Distribución",Difusión,India,Texto,2025-11-11,Producción
